180,187,199 157,173,202 157,176,208 157,180,216 157,180,216 157,180,216 157,180,216 157,180,215 154,177,213 177,189,205  
166,190,169 141,183,158 141,183,158 166,154,185 195,140,215 169,145,185 152,159,164 152,159,164 143,159,182 163,183,214  
141,201,178 100,200,173 129,194,146 189,155,176 202,136,187 174,151,152 169,163,144 169,168,131 159,176,150 163,183,214  
126,211,199 98,198,172 135,194,142 189,155,176 209,135,195 182,158,147 179,186,120 184,196,114 172,195,146 163,184,215  
146,200,173 134,194,142 159,175,140 188,144,168 217,131,202 205,147,172 194,176,136 192,189,123 172,195,146 163,184,215  
171,179,167 157,165,146 185,151,159 204,146,175 202,136,179 202,136,179 204,146,175 194,167,143 172,195,146 163,184,215  
179,162,196 181,137,176 204,146,175 201,146,157 201,145,160 201,145,160 201,146,157 194,167,143 172,195,146 163,183,214  
179,162,196 181,137,176 204,146,175 209,155,136 209,156,131 209,156,131 209,155,136 194,167,143 172,195,146 163,183,214  
179,162,196 171,133,176 195,142,172 203,149,141 214,161,124 214,161,124 203,149,141 194,167,143 172,195,146 163,183,214  
185,171,193 167,148,194 181,147,175 201,155,173 201,155,173 201,155,173 201,155,173 193,171,149 176,193,151 173,187,207
